title,content,source,publishedAt,url,Overall Sentiment,Positive Sentiment,Neutral Sentiment,Negative Sentiment
Stock market news live updates: Stock futures extend gains after Fed expands bond-buying program - yahoo.com,"Stock futures kicked off the overnight session higher Monday evening, extending gains from the regular trading day.
Earlier, stocks closed out a choppy session higher, with equities in the morning t… [+2717 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",2020-06-15 22:22:00,https://finance.yahoo.com/news/stock-market-news-live-june-16-2020-222206832.html,0,0.39,0.61,0.0
A Beginner’s Guide to Employee Stock Plans,"So youve started a new job and the company offers stock options as part of its benefits package. Maybe you have no idea what that means, or youre not quite sure how to get started. Here are some basi… [+9427 chars]","{'id': None, 'name': 'Lifehacker.com'}",2020-06-16 17:14:00,https://twocents.lifehacker.com/a-beginner-s-guide-to-your-company-s-employee-stock-pla-1720502775,0,0.04,0.92,0.04
Want an Oculus Quest? Inventory is limited -- but in stock now - CNET,"Sarah Tew/CNET
The Oculus Quest, the runaway hit VR headset that's been largely unavailable from any retailer since the holidays, is finally coming back in stock. That's great news for VR fans. The … [+3113 chars]","{'id': None, 'name': 'CNET'}",2020-06-17 21:48:00,https://www.cnet.com/news/almost-impossible-to-get-oculus-quest-back-in-stock-at-amazon-oculus/,0,0.01,0.97,0.02
All bets are off as Hertz pulls plan to issue $500 million in new stock,"Hertz, which filed for bankruptcy last month, halted its $500 million stock offering Wednesday after the U.S. Securities and Exchange Commission told the rental company it would review its controvers… [+2345 chars]","{'id': 'techcrunch', 'name': 'TechCrunch'}",2020-06-17 23:03:28,http://techcrunch.com/2020/06/17/all-bets-are-off-as-hertz-pulls-plan-to-issue-500-million-in-new-stock/,0,0.03,0.6,0.37
This limited-edition 'The Last of Us Part II' game drive is *finally* back in stock,"TL;DR: Seagate's limited-edition The Last of Us Part II game drive for PS4 is finally back in stock at Best Buy as of June 18, and it comes with your choice of two gifts from Shutterfly.
After seven… [+1792 chars]","{'id': 'mashable', 'name': 'Mashable'}",2020-06-18 15:38:22,https://mashable.com/shopping/june-18-seagate-last-of-us-part-ii-game-drive-ps4-best-buy/,0,0.02,0.89,0.09
Do you think Samsung software is better than 'stock' Android?,"06-19-2020 05:31 PM
This right here.
Like Samsung's features or not, you have to admit they make their own stuff and don't depend nearly so much on Google. That it's Google under the skin is gettin… [+224 chars]","{'id': None, 'name': 'Android Central'}",2020-06-22 12:39:16,https://www.androidcentral.com/do-you-think-samsung-software-better-stock-android,1,0.99,0.01,0.0
iPadOS 14 focuses on giving apps a macOS feel,"Apple showcased a few new tablet-specific updates coming to iPadOS that aim to appease users hungry for software that treats the devices as laptop replacements.
Apple’s iPad-specific updates are fai… [+1609 chars]","{'id': 'techcrunch', 'name': 'TechCrunch'}",2020-06-22 18:12:54,http://techcrunch.com/2020/06/22/ipados-14-focuses-on-giving-apps-a-macos-feel/,0,0.0,1.0,0.0
Here’s how Apple’s stock fared during the WWDC keynote,"Apple held its WWDC keynote today, a virtual affair that managed to convince swaths of the technology industry to watch a pre-recorded video.
While TechCrunch has posts galore up on the site about a… [+3790 chars]","{'id': 'techcrunch', 'name': 'TechCrunch'}",2020-06-22 19:27:36,http://techcrunch.com/2020/06/22/heres-how-apples-stock-fared-during-the-wwdc-keynote/,0,0.01,0.98,0.01
NYSE seeks SEC approval for more direct listings,"The New York Stock Exchange filed an amendment today with the Securities and Exchange Commission to allow for more direct listings.
Direct listings offer a more streamlined method for companies to g… [+2106 chars]","{'id': 'techcrunch', 'name': 'TechCrunch'}",2020-06-22 20:38:42,http://techcrunch.com/2020/06/22/nyse-seeks-sec-approval-for-more-direct-listings/,0,0.01,0.98,0.01
BRIEF-Huiyin Holdings Group Updates On Decision Of Stock Exchange - Reuters,"June 23 (Reuters) - Huiyin Holdings Group Ltd: 
* HUIYIN HOLDINGS GROUP UPDATES ON DECISION OF STOCK EXCHANGE THAT CO FAILED TO COMPLY WITH A LISTING RULE 
* GOT A LETTER FROM LISTING COMMITTEE ON … [+369 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-23 15:11:00,https://www.reuters.com/article/brief-huiyin-holdings-group-updates-on-d-idUSFWN2E00Q1,0,0.0,1.0,0.0
BRIEF-Soleno Therapeutics Announces Proposed Public Offering Of Common Stock - Reuters,"June 23 (Reuters) - Soleno Therapeutics Inc: 
* SOLENO THERAPEUTICS ANNOUNCES PROPOSED PUBLIC OFFERING OF COMMON STOCK Source text for Eikon: Further company coverage:","{'id': 'reuters', 'name': 'Reuters'}",2020-06-23 20:47:00,https://www.reuters.com/article/brief-soleno-therapeutics-announces-prop-idUSASA00UP5,0,0.0,0.99,0.01
BRIEF-Tela Bio Files To Offer $3 Mln Shares Of Common Stock - Reuters,"June 23 (Reuters) - TELA Bio Inc: 
* TELA BIO FILES TO OFFER $3 MILLION SHARES OF COMMON STOCK - SEC FILING Source text: [bit.ly/2Z0wwqd] Further company coverage: (Reuters.Briefs@thomsonreuters.com)","{'id': 'reuters', 'name': 'Reuters'}",2020-06-23 21:01:00,https://www.reuters.com/article/brief-tela-bio-files-to-offer-3-mln-shar-idUSFWN2E00T6,0,0.0,0.99,0.01
BRIEF-Outlook Therapeutics Files Prospectus Supplement Related To Offering Of 8.4 Mln Shares Of Common Stock - SEC Filing - Reuters,"June 23 (Reuters) - Outlook Therapeutics Inc: 
* OUTLOOK THERAPEUTICS INC FILES PROSPECTUS SUPPLEMENT RELATED TO OFFERING OF 8.4 MILLION SHARES OF COMMON STOCK - SEC FILING Source text: bit.ly/2zWiL… [+27 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-23 21:21:00,https://www.reuters.com/article/brief-outlook-therapeutics-files-prospec-idUSFWN2E00TD,0,0.0,1.0,0.0
BRIEF-Editas Medicine Files Preliminary Prospectus Related To Offering Of 4 Mln Shares Of Common Stock - SEC Filing - Reuters,"June 23 (Reuters) - Editas Medicine Inc: 
* EDITAS MEDICINE INC FILES PRELIMINARY PROSPECTUS RELATED TO OFFERING OF 4 MILLION SHARES OF COMMON STOCK - SEC FILING Source text: bit.ly/2Z5yoxQ Further … [+16 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-23 23:27:00,https://www.reuters.com/article/brief-editas-medicine-files-preliminary-idUSFWN2E00T9,0,0.0,1.0,0.0
BRIEF-Editas Medicine Files Preliminary Prospectus Related To Offering Of 4 Mln Shares Of Common Stock - SEC Filing - Reuters,"June 23 (Reuters) - Editas Medicine Inc: 
* EDITAS MEDICINE INC FILES PRELIMINARY PROSPECTUS RELATED TO OFFERING OF 4 MILLION SHARES OF COMMON STOCK - SEC FILING Source text: bit.ly/2Z5yoxQ Further … [+16 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-23 23:27:00,https://uk.reuters.com/article/brief-editas-medicine-files-preliminary-idUKFWN2E00T9,0,0.0,1.0,0.0
BRIEF-Palomar Holdings Announces Pricing Of Public Offering Of Common Stock - Reuters,"June 23 (Reuters) - Palomar Holdings Inc: 
* PALOMAR HOLDINGS, INC. ANNOUNCES PRICING OF PUBLIC OFFERING OF COMMON STOCK 
* SAYS OFFERING OF 1.00 MILLION SHARES PRICED AT $82.00PER SHARE Source tex… [+37 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-24 00:32:00,https://www.reuters.com/article/brief-palomar-holdings-announces-pricing-idUSASA00UQI,0,0.0,0.99,0.01
BRIEF-Editas Medicine Announces Pricing Of Offering Of Common Stock - Reuters,"June 23 (Reuters) - Editas Medicine Inc: 
* EDITAS MEDICINE ANNOUNCES PRICING OF OFFERING OF COMMON STOCK 
* ANNOUNCED PRICING OF UNDERWRITTEN OFFERING OF 6 MILLION SHARES OF ITS STOCK AT PUBLIC OF… [+80 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-24 01:52:00,https://www.reuters.com/article/brief-editas-medicine-announces-pricing-idUSASA00UQL,0,0.0,1.0,0.0
BRIEF-Editas Medicine Announces Pricing Of Offering Of Common Stock - Reuters India,"June 23 (Reuters) - Editas Medicine Inc: 
* EDITAS MEDICINE ANNOUNCES PRICING OF OFFERING OF COMMON STOCK 
* ANNOUNCED PRICING OF UNDERWRITTEN OFFERING OF 6 MILLION SHARES OF ITS STOCK AT PUBLIC OF… [+80 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-24 01:53:00,https://in.reuters.com/article/brief-editas-medicine-announces-pricing-idINASA00UQL,0,0.0,1.0,0.0
BRIEF-Nantkwest Announces Proposed Public Offering Of Common Stock - Reuters,"June 24 (Reuters) - NantKwest Inc: 
* NANTKWEST ANNOUNCES PROPOSED PUBLIC OFFERING OF COMMON STOCK Source text for Eikon: Further company coverage:","{'id': 'reuters', 'name': 'Reuters'}",2020-06-24 20:18:00,https://www.reuters.com/article/brief-nantkwest-announces-proposed-publi-idUSASA00UU8,0,0.0,0.99,0.01
BRIEF-Translate Bio Announces Proposed Public Offering Of Common Stock - Reuters,"June 24 (Reuters) - Translate Bio Inc: 
* TRANSLATE BIO ANNOUNCES PROPOSED PUBLIC OFFERING OF COMMON STOCK 
* TRANSLATE BIO - COMMENCED UNDERWRITTEN PUBLIC OFFERING OF $125.0 MILLION OF COMMON STOC… [+233 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-24 20:43:00,https://www.reuters.com/article/brief-translate-bio-announces-proposed-p-idUSASA00UUD,0,0.01,0.98,0.01
BRIEF-Castle Biosciences Announces Pricing Of $74 Mln Public Offering Of Stock - Reuters,"June 24 (Reuters) - Castle Biosciences Inc: 
* CASTLE BIOSCIENCES ANNOUNCES PRICING OF $74.0 MILLION PUBLIC OFFERING OF COMMON STOCK 
* PRICING OF ITS UNDERWRITTEN PUBLIC OFFERING OF 2 MILLION SHAR… [+111 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-25 02:38:00,https://www.reuters.com/article/brief-castle-biosciences-announces-prici-idUSASA00UVC,0,0.0,1.0,0.0
BRIEF-London Stock Exchange appoints Anna Manz as CFO - Reuters UK,"June 25 (Reuters) - London Stock Exchange Group PLC: 
* LONDONSTOCKEXGROUP - DIRECTORATE CHANGE 
* LSEG APPOINTS ANNA MANZ AS CHIEF FINANCIAL OFFICER 
* SHE SUCCEEDS DAVID WARREN WHO ANNOUNCED IN … [+388 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-25 06:04:00,https://uk.reuters.com/article/brief-london-stock-exchange-appoints-ann-idUKASN0008I7,0,0.0,0.99,0.01
London Stock Exchange appoints Manz as CFO - Reuters,"LONDON, June 25 (Reuters) - The London Stock Exchange on Thursday said it had appointed Anna Manz as chief financial officer from November, when the exchange hopes it will have obtained approval for … [+1104 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-25 06:41:00,https://www.reuters.com/article/lse-cfo-idUSL8N2E211M,0,0.0,0.99,0.01
London Stock Exchange appoints Manz as CFO - Reuters UK,"LONDON (Reuters) - The London Stock Exchange on Thursday said it had appointed Anna Manz as chief financial officer from November, when the exchange hopes it will have obtained approval for its $27 b… [+1113 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-25 06:45:00,https://uk.reuters.com/article/uk-lse-cfo-idUKKBN23W0T6,0,0.0,0.99,0.01
Lufthansa stock soars as billionaire OKs bailout - Reuters,"Posted 
Billionaire investor Heinz Hermann Thiele says he won't veto a state bailout for Lufthansa, sending the airline's stock soaring in early trade Thursday.","{'id': 'reuters', 'name': 'Reuters'}",2020-06-25 10:31:31,https://www.reuters.com/video/watch/idP$61?now=true,0,0.01,0.98,0.01
